carat,cut,color,clarity,depth,table,price
0.31,Ideal,E,SI1,62.4,57.0,544
0.71,Ideal,D,SI2,60.4,56.0,2516
0.9,Good,G,VVS2,62.6,58.0,4668
0.72,Ideal,D,VS2,60.8,56.0,3179
1.42,Ideal,J,VS2,61.7,56.0,7942
1.08,Ideal,E,VS1,61.6,57.0,8674
0.3,Ideal,D,VVS2,61.5,55.0,1041
0.83,Ideal,E,VS2,61.3,56.0,4271
0.41,Ideal,G,VS2,61.4,54.0,1061
0.65,Ideal,D,VS2,62.7,57.0,2392
0.37,Premium,F,VS2,60.5,59.0,696
1.0,Premium,D,VS1,62.1,55.0,7812
0.77,Ideal,D,SI1,62.6,57.0,2949
0.48,Fair,E,VS2,64.9,54.0,1215
1.11,Good,I,VVS2,60.1,64.0,5221
0.73,Premium,D,VS2,60.9,59.0,2947
0.41,Ideal,J,VS2,62.4,55.0,613
1.01,Very Good,I,SI1,60.9,63.0,2323
1.04,Premium,G,VS1,60.2,58.0,6360
1.52,Very Good,G,SI1,62.5,58.0,10150
0.33,Ideal,H,VS2,61.0,55.0,539
1.04,Ideal,E,SI1,61.8,56.0,7208
0.4,Ideal,E,VVS1,60.8,57.0,1278
1.08,Ideal,G,VS2,60.3,59.0,6769
0.9,Good,F,SI1,62.8,64.0,3659
0.72,Very Good,E,SI2,61.4,58.0,2688
1.01,Premium,H,IF,62.1,59.0,6702
0.82,Very Good,E,SI1,63.1,58.0,3282
0.81,Premium,I,VVS2,61.9,60.0,2795
1.0,Very Good,H,VS2,59.7,59.0,5046
0.34,Ideal,F,SI1,59.4,57.0,491
0.5,Good,F,SI2,62.0,54.7,1214
0.53,Ideal,E,VS2,62.7,54.0,1721
0.59,Ideal,G,VVS2,62.2,56.0,1966
0.3,Ideal,I,VVS2,62.1,56.0,515
0.32,Premium,G,VS2,61.5,58.0,561
0.7,Ideal,D,SI1,61.8,56.0,2822
0.53,Premium,G,VS2,62.6,58.0,1607
0.31,Good,H,VS2,63.1,57.0,489
1.0,Ideal,G,VS2,62.3,54.0,6272
0.34,Good,F,SI2,63.3,54.0,447
0.54,Good,D,SI1,63.7,57.0,1263
0.59,Very Good,F,IF,59.9,63.0,2632
1.51,Very Good,G,VS2,62.8,57.0,11923
0.37,Premium,F,VS2,61.0,58.0,957
0.46,Premium,I,SI2,60.3,62.0,880
2.0,Ideal,H,SI1,61.8,57.0,18062
0.51,Ideal,D,SI1,61.8,55.0,1687
1.2,Premium,J,VS2,60.8,60.0,4839
0.61,Ideal,E,VS2,59.7,57.0,2115
0.33,Ideal,H,IF,61.0,55.0,959
1.52,Fair,I,VVS2,64.9,56.0,7303
0.7,Very Good,G,VS2,61.8,55.0,3026
0.4,Ideal,G,IF,61.9,56.0,1570
0.55,Ideal,G,VS2,61.8,55.0,1715
0.74,Ideal,D,SI2,62.2,57.0,2690
0.41,Premium,E,VVS1,60.0,61.0,1130
1.07,Premium,G,VS2,61.9,60.0,6213
0.24,Very Good,F,VS2,61.3,54.0,461
2.22,Premium,I,SI1,59.9,59.0,18432
0.46,Ideal,G,IF,61.6,54.0,1558
1.0,Good,D,VS2,63.6,56.0,5645
0.4,Premium,E,SI1,60.1,59.0,945
1.01,Good,F,SI1,63.8,59.0,4899
0.35,Ideal,E,VS2,62.1,56.0,984
0.7,Ideal,H,VVS1,62.3,58.0,2866
0.71,Very Good,I,SI1,61.8,56.0,2141
0.9,Very Good,F,VS2,63.2,57.0,4715
1.25,Very Good,H,VS2,62.9,60.0,7227
0.32,Ideal,H,VS2,62.0,57.0,505
0.31,Ideal,D,VS2,62.9,55.0,942
1.04,Ideal,G,SI2,62.4,54.0,5044
0.41,Good,H,VVS1,62.6,62.0,892
0.31,Premium,G,VS1,61.2,59.0,802
1.34,Fair,G,SI2,64.7,55.0,5106
0.33,Ideal,E,VVS1,61.2,56.0,1052
1.54,Ideal,E,VS2,62.0,56.0,14529
1.01,Ideal,G,VS2,62.1,59.0,7814
0.72,Ideal,E,VS2,61.1,56.0,3601
0.78,Premium,F,SI1,62.4,58.0,2777
0.76,Premium,F,SI2,60.5,60.0,2491
0.34,Fair,F,VS2,64.7,55.0,816
0.41,Very Good,G,VS2,61.0,56.0,827
1.23,Very Good,F,VVS2,62.2,58.0,11382
1.03,Ideal,G,VS1,61.2,57.0,7391
0.62,Ideal,G,VVS2,62.6,57.0,2507
1.0,Fair,F,VS2,64.9,56.0,5840
0.7,Ideal,G,SI2,61.3,58.0,2234
0.74,Ideal,G,SI1,60.6,55.0,3130
0.37,Ideal,F,VS2,61.4,56.0,746
0.9,Very Good,H,VS1,63.0,55.0,4939
0.26,Ideal,H,VS2,62.1,55.0,434
1.61,Ideal,E,SI2,61.3,59.0,11220
1.01,Very Good,E,SI1,63.1,58.0,5226
1.14,Ideal,G,VS2,62.0,55.0,7371
1.0,Ideal,E,SI1,61.5,57.0,4864
2.12,Very Good,H,SI1,60.7,55.0,18118
0.71,Very Good,E,SI2,61.9,63.0,2375
0.3,Ideal,E,VVS2,61.7,55.0,789
0.53,Ideal,J,SI1,61.4,56.0,1042
0.39,Good,F,VS2,64.3,55.0,681
0.33,Ideal,I,IF,61.7,55.0,675
0.59,Ideal,E,VVS2,61.0,58.0,2515
0.51,Ideal,F,SI1,60.8,57.0,1633
0.39,Premium,J,VVS1,62.5,58.0,921
0.42,Very Good,I,VVS2,61.7,55.0,771
0.77,Good,H,SI2,58.6,64.0,2262
1.0,Premium,G,VS1,61.9,60.0,5242
1.24,Ideal,H,VVS1,61.9,55.0,8693
0.72,Very Good,D,VS2,61.8,58.0,3075
0.9,Good,D,SI1,63.9,57.0,3689
0.37,Very Good,E,VS2,63.0,58.0,811
0.31,Very Good,D,VS1,62.3,56.0,736
1.53,Good,H,I1,62.3,55.6,6361
0.7,Very Good,D,VS1,60.4,58.0,3008
0.56,Ideal,F,VVS2,61.9,56.0,2462
1.0,Premium,F,I1,62.4,59.0,3344
0.72,Fair,F,VS2,55.4,64.0,2724
0.72,Premium,F,SI2,61.7,58.0,2058
1.11,Ideal,H,SI2,63.5,60.0,4538
1.01,Fair,G,SI1,65.1,57.0,2993
1.1,Very Good,I,SI2,60.5,59.0,4202
0.7,Premium,F,VS2,59.4,61.0,2838
0.92,Very Good,F,SI2,60.6,63.0,3534
2.01,Very Good,E,SI2,59.3,61.0,17759
0.3,Good,G,VVS2,63.5,56.0,684
1.07,Premium,G,SI2,62.9,59.0,4401
0.51,Good,E,SI1,64.3,54.0,1624
0.25,Ideal,F,VS2,61.6,55.0,535
0.91,Very Good,G,SI1,62.2,57.0,3884
1.54,Premium,G,SI2,61.6,58.0,7287
0.4,Ideal,G,IF,62.2,55.0,1333
0.51,Ideal,D,VS2,61.5,56.0,1674
1.57,Premium,J,VS1,61.3,59.0,8752
0.4,Ideal,E,VVS1,61.5,56.0,1397
0.32,Ideal,E,VS2,62.1,55.0,900
0.3,Ideal,H,VS2,62.3,56.0,491
1.14,Ideal,G,IF,61.1,57.0,10313
0.49,Very Good,D,SI1,58.6,60.0,1174
0.71,Very Good,F,SI1,62.3,60.0,2436
1.52,Very Good,D,SI2,58.6,59.0,9817
0.83,Ideal,H,VVS1,61.7,57.0,3570
1.0,Premium,J,SI2,62.7,58.0,3293
1.22,Premium,I,VS2,60.6,58.0,6149
0.81,Premium,G,SI2,62.2,59.0,2616
1.22,Very Good,G,VS1,61.2,58.0,8795
0.53,Ideal,G,SI1,62.7,55.0,1308
